altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,horaso2max_estacion29,horaso2max_estacion38,so2max_estacion38,target
254,25.8,0.0,16.3,38,35.4,69,99.0,1.7,6.7,71,12.7,986.6,16,980.5,19,9.0,9.0,671.0,1803.0
254,27.0,0.2,18.6,17,35.3,53,14.0,4.2,13.9,43,9.8,985.6,7,979.9,19,1.0,19.0,931.0,287.0
254,25.3,0.0,17.8,70,32.8,53,15.0,5.3,15.3,96,10.7,987.1,4,983.1,19,21.0,1.0,47.0,278.0
254,24.6,0.0,17.4,70,31.9,56,12.0,5.3,14.7,22,9.5,988.8,11,983.5,18,13.0,0.0,493.0,268.0
254,22.8,0.0,18.0,41,27.6,19,32.0,4.7,11.1,53,5.1,986.0,3,982.9,18,20.0,2.0,672.0,285.0
254,23.4,1.0,16.4,38,30.3,71,18.0,1.9,7.8,142,11.5,988.3,7,984.4,13,13.0,14.0,407.0,313.0
254,23.6,0.0,16.6,38,30.5,54,24.0,2.2,7.8,61,9.9,990.1,11,985.7,18,17.0,21.0,445.0,349.0
254,24.3,0.0,16.3,38,32.3,53,22.0,2.2,13.3,67,9.9,990.0,9,985.5,12,11.0,9.0,764.0,367.0
254,25.6,15.0,18.7,38,32.6,56,29.0,1.9,19.7,21,6.6,988.5,4,983.9,12,21.0,2.0,507.0,338.0
254,20.9,8.6,15.3,25,26.5,23,33.0,2.5,21.4,90,5.0,989.5,6,984.8,5,16.0,13.0,204.0,334.0
254,14.0,9.4,12.5,64,15.6,71,33.0,1.4,12.8,117,0.2,989.8,2,986.2,12,20.0,22.0,201.0,292.0
254,19.7,0.0,13.0,38,26.4,16,32.0,4.2,17.2,47,12.9,987.4,11,982.1,6,22.0,20.0,217.0,304.0
254,19.2,0.0,14.3,25,24.1,24,31.0,5.3,14.7,90,12.2,991.1,7,981.5,3,7.0,7.0,22.0,323.0
254,21.8,0.0,13.1,34,30.4,64,29.0,3.1,12.5,10,13.2,992.9,11,987.4,19,22.0,21.0,272.0,332.0
254,24.8,1.4,16.9,48,32.7,68,35.0,4.2,15.0,78,9.4,988.3,11,980.1,21,19.0,17.0,244.0,358.0
254,25.6,0.0,18.0,51,33.1,61,11.0,2.2,8.1,120,12.8,986.4,7,983.0,18,8.0,20.0,281.0,383.0
254,26.8,0.0,18.3,34,35.3,69,12.0,1.9,7.8,90,13.1,988.8,15,984.5,18,22.0,10.0,28.0,354.0
254,29.8,0.0,21.2,38,38.4,65,30.0,1.4,14.2,93,13.1,988.0,11,983.2,19,22.0,20.0,318.0,392.0
254,27.9,0.0,19.3,38,36.5,54,32.0,3.9,13.3,59,13.3,989.1,9,982.5,6,17.0,22.0,4.0,387.0
254,28.9,0.0,20.1,70,37.7,69,14.0,3.1,10.0,3,12.8,984.6,2,980.3,18,9.0,8.0,304.0,373.0
254,30.8,0.0,21.8,64,39.7,71,15.0,1.9,10.3,61,12.8,984.8,14,980.0,18,14.0,23.0,408.0,354.0
254,28.5,0.0,21.4,25,35.6,40,29.0,3.9,15.3,122,8.7,991.4,4,983.6,10,18.0,14.0,284.0,368.0
254,27.6,0.0,19.4,38,35.7,57,31.0,4.4,12.8,19,13.3,991.9,14,987.5,19,9.0,18.0,237.0,321.0
254,28.8,0.0,20.4,68,37.3,65,30.0,3.1,11.1,28,13.3,989.8,10,983.1,15,23.0,22.0,266.0,335.0
254,30.4,0.0,21.8,38,39.0,33,15.0,3.3,11.7,89,13.3,986.0,7,981.7,15,21.0,20.0,34.0,357.0
